be capable of ～ing,…できる
be fit for ～,～に適している
be similar to ～,～と似ている
be equal to ～,～に匹敵する
be sure to …,必ず…する
be bound to …,必ず…する
be subject to ～,～の支配下にある、～の対象となる
give in (to ～),～に）屈する
surrender (to ～),～に）屈する
yield (to ～),～に）屈する
give way (to ～),～に）屈する
learn ～ by heart,～を暗記する
memorize ～,～を暗記する
graduate from ～,～を卒業する
grow up,成長する、大人になる
take to ～,～が好きになる
fall in love with ～,～に恋をする
keep in touch with ～,～と接触を保つ
bring up ～,～を育てる
hope for ～,～を願う
long for ～,～を切望する
come true,実現する
refer to ～,～に言及する、～を参照する
approve of ～,～を承認する、～に賛成する
object to ～,～に反対する
make up for ～,～の埋め合わせをする
compensate for ～,～の埋め合わせをする
search for ～,～を捜す
stand for ～,～を表す
represent ～,～を表す
mean ～,～を表す
stand by ～,～を支援する
stand out,目立つ
show up,現れる、目立つ
account for ～,～（理由・原因）を説明する
explain ～,～（理由・原因）を説明する
turn out ～,～であることが判明する
prove ～,～であることが判明する
a variety of ～,さまざまな～
so that ～ may …,～が…できるために
in common (with ～),（～と）共通に
in turn,順番に
apart from ～,～は別として
even if ～,たとえ～だとしても
as if ～,まるで～であるかのように
as though ～,まるで～であるかのように
up and down,上下に、あちこちと
back and forth,前後に、あちこちに
on sale,販売中で
for free,無料で
for nothing,無料で
on the contrary,その正反対で
up to ～,～まで、～次第で
next to ～,～の隣に、ほとんど（～ない）
close to ～,ほとんど～
almost ～,ほとんど～
in detail,詳細に
in advance,前もって
beforehand,前もって
ahead of ～,～の前方に
not always ～,いつでも～とは限らない
not necessarily ～,必ずしも～ではない
out of ～,～の範囲外で、～（原因・理由） から
out of the question,問題外で
in case ～,～した場合には、～するといけないから
in case of ～,～の場合には
in search of ～,～を捜して
in accordance with ～,～に従って
along with ～,～と共に、～と一緒に
together with ～,～と共に、～と一緒に
in charge of ～,～の管理をして
apply for ～,～を申し込む
apply to ～,～に当てはまる
be true of ～,～に当てはまる
prepare for ～,～への準備をする
go through ～,～を経験する、～を通過する
experience ～,～を経験する、～を通過する
get over ～,～を乗り越える、～を克服する
overcome ～,～を乗り越える、～を克服する
turn down ～,～を断る
refuse ～,～を断る
long to …,…したいと切望する
come to …,…するようになる
cannot afford to …,…する余裕がない
manage to …,何とか…する
persuade A to …,Aに…するように説得する
persuade A into ～ing,Aに…するように説得する
talk A into ～ing,Aに…するように説得する
persuade A not to …,Aに…しないように説得する
persuade A out of ～ing,Aに…しないように説得する
talk A out of ～ing,Aに…しないように説得する
urge A to …,Aに…するよう強く勧める
impose A on B,AをBに課す
confuse A with B,AをBと混同する
charge A with B,AをBの罪で告訴する
accuse A of B,AをBで非難する
blame A for B,AをBのことで非難する
blame A on B,AをBのせいだとする
derive A from B,BからAを引き出す
mistake A for B,AをBと間違える
take A for B,AをBと間違える
prove A (to be) B,AがBであると証明する
prevent A from ～ing,Aが～するのを防ぐ
keep A from B,AをBから避ける、AがBするのを防ぐ
translate A into B,AをBに翻訳する
owe A to B,AをBのおかげだと思う
provide A with B,AにBを与える
provide for ～,～を養う
as well,同様に
may well …,…するのももっともだ
may as well …,（どうせなら）…したほうがよい
might as well …,（どうせなら）…したほうがよい
may as well A as B,BするくらいならAしたほうがよい
might as well A as B,BするくらいならAしたほうがよい
would rather A (than B),（Bよりも）むしろAしたい
not so much A as B,AというよりもむしろB
B rather than A,AというよりもむしろB
no more A than B,Bでないのと同様にAでない
no more than ～,～しか
none the less,それにもかかわらず
every time ～,～する時はいつでも
when it comes to ～,～という話になると
as is often the case (with ～),（～には）よくあることだが
by way of ～,～経由で、～として
in the way (of ～),（～の）邪魔になって
on the way,途中で
on one's way (to ～),（～への）途中で
not to say ～,～とは言わないまでも
to say nothing of ～,～は言うまでもなく
not to mention ～,～は言うまでもなく
needless to say,言うまでもなく
as a result,結果として
as a consequence,結果として
in conclusion,結論として
to make matters worse,さらに悪いことには
what is worse,さらに悪いことには
second to none,何（誰）にも劣らない
in a hurry,急いで
in haste,急いで
on duty,勤務中で
off duty,非番で
out of order,故障して
on board,搭乗して
out loud,声を出して
but for ～,～がなければ
if it were not for ～,もし～がなければ
No matter how ～,たとえどんなに～でも
However ～,たとえどんなに～でも
be willing to …,…するのをいとわない
be liable to …,…（好ましくないことを）しがちである
be obliged to …,…することを余儀なくされる
be certain to …,…するのは確実だ
be worth ～ing,～する価値がある
be worthy of ～,～の価値がある
be true to ～,～に忠実である
be satisfied with ～,～に満足している
be engaged to ～,～と婚約している
be engaged in ～,～に従事している
be typical of ～,～に典型的である
be something of a ～,ちょっとした～である
be free from ～,～がない
be concerned with ～,～と関わりがある
be related to ～,～と関係がある
have nothing to do with ～,～と無関係である
take after ～,～に似ている
resemble ～,～に似ている
insist on ～,～を強く主張する
cling to ～,～に執着する、～にしがみつく
point out ～,～を指摘する
break into ～,～に押し入る
get out of ～,～の外に出る
correspond to ～,～に相当する
do ～ good,～に利益をもたらす
do ～ harm,～に害をもたらす
suffer from ～,～で苦しむ
break down,故障する
make sense,意味をなす
make out ～,～を理解する
